frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness,nvfp4ffn-w8a16_diverged,nvfp4ffn-w8a16_text_l2,nvfp4ffn-w8a16_text_maxabs,nvfp4ffn-w8a16_audio_l2,nvfp4ffn-w8a16_audio_maxabs,nvfp4ffn-w8a16_rms,nvfp4ffn-w8a16_click,nvfp4ffn-w8a16_centroid_hz,nvfp4ffn-w8a16_flatness
141,0,22.4304,0.6143,22.6745,1.0938,,,,,0,19.1365,0.5347,17.3379,0.8750,,,,,0,27.5385,0.6582,23.2747,2.0000,,,,
142,0,22.3339,0.6738,22.2067,1.1250,,,,,0,17.9111,0.5527,18.4934,0.8750,,,,,0,28.4221,0.7246,25.7326,1.5000,,,,
143,0,36.8608,0.8184,19.7641,0.8125,,,,,0,17.5212,0.5410,17.0559,1.0000,,,,,0,29.2635,0.7480,20.3246,1.3750,,,,
144,0,20.7880,0.6187,18.5137,0.8125,,,,,0,18.3705,0.5444,17.3595,1.0000,,,,,0,26.4866,0.6660,22.3367,1.2500,,,,
145,0,25.1209,0.7109,27.6661,1.0938,,,,,0,18.2740,0.5742,18.4088,1.5000,,,,,0,26.7353,0.6582,23.9169,1.3438,,,,
146,0,26.1465,0.7080,23.9667,1.4375,,,,,0,17.8557,0.5938,17.6435,1.5000,,,,,0,27.4832,0.7012,22.2946,1.0625,,,,
147,0,31.3354,0.7856,22.4416,1.0625,,,,,0,18.2060,0.5840,18.2421,1.2500,,,,,0,26.3867,0.6895,23.2273,1.4375,,,,
148,0,19.9457,0.5654,20.8921,1.1250,,,,,0,17.2933,0.5264,18.0618,1.6250,,,,,0,26.3554,0.6677,23.9664,1.7500,,,,
149,0,40.0697,0.9863,25.1904,1.0000,,,,,0,18.1641,0.5371,20.2294,1.8750,,,,,0,27.6513,0.6367,24.2346,1.2500,,,,
150,0,22.7358,0.6777,24.6875,1.3125,,,,,0,18.7863,0.5801,21.5011,1.8125,,,,,0,27.8349,0.6631,27.2111,1.9375,,,,
151,0,27.7300,0.7715,23.5285,1.0000,,,,,0,19.7974,0.6553,21.1192,1.5000,,,,,0,27.9638,0.8750,30.8502,2.0625,,,,
152,0,28.7860,0.7207,23.8696,1.1250,,,,,0,19.1514,0.6055,20.3528,1.7500,,,,,0,50.8071,1.0000,39.9454,2.6250,,,,
153,0,25.0242,0.8242,22.9285,0.8750,,,,,0,18.6484,0.5391,18.7510,1.1250,,,,,0,33.9683,1.2500,33.2012,1.4375,,,,
154,0,22.2417,0.7266,21.7049,0.8750,,,,,0,21.0605,0.5781,18.5231,0.8750,,,,,0,30.6509,1.0000,37.1806,1.3756,,,,
155,0,37.5276,0.9219,22.2252,0.8125,,,,,0,18.8272,0.5312,18.1491,0.7500,,,,,0,33.0274,1.2500,34.9731,1.2930,,,,
156,0,21.6858,0.6758,24.0865,1.1250,,,,,0,18.4699,0.5703,17.3976,0.8750,,,,,0,33.4501,0.8125,39.0324,1.5625,,,,
157,0,39.3834,0.7996,22.6335,0.8750,,,,,0,18.2951,0.5488,19.9817,0.7500,,,,,0,28.7416,1.1250,38.6911,1.4062,,,,
