frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness
111,1,,,,,0.00022,0.00000,3.1,0.00003,1,,,,,0.00022,0.00000,3.1,0.00004
112,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
113,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
114,1,,,,,0.00022,0.00001,3.2,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
115,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
116,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
117,1,,,,,0.00022,0.00001,3.2,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
118,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
119,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
120,1,,,,,0.00022,0.00001,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
121,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
122,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
123,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
124,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
125,1,,,,,0.00022,0.00000,3.1,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
126,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
127,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
128,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
129,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
130,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
131,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
132,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
133,1,,,,,0.00022,0.00000,3.1,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
134,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
135,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
136,1,,,,,0.00022,0.00001,3.1,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
137,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
138,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00001,3.2,0.00004
139,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
140,1,,,,,0.00022,0.00000,3.1,0.00004,1,,,,,0.00022,0.00001,3.2,0.00004
141,1,,,,,0.00022,0.00000,3.1,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
142,1,,,,,0.00022,0.00001,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
143,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
144,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00001,3.1,0.00004
145,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
146,1,,,,,0.00022,0.00000,3.2,0.00003,1,,,,,0.00022,0.00000,3.2,0.00004
147,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.2,0.00004
148,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
149,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.1,0.00004
150,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
151,1,,,,,0.00022,0.00001,3.2,0.00004,1,,,,,0.00022,0.00000,3.3,0.00004
152,1,,,,,0.00022,0.00000,3.3,0.00003,1,,,,,0.00022,0.00000,3.4,0.00004
153,1,,,,,0.00022,0.00001,3.3,0.00004,1,,,,,0.00022,0.00000,3.5,0.00004
154,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00000,3.5,0.00004
155,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00023,0.00000,3.6,0.00004
156,1,,,,,0.00022,0.00001,3.3,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
157,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00000,3.5,0.00004
158,1,,,,,0.00022,0.00000,3.3,0.00004,1,,,,,0.00022,0.00001,3.6,0.00004
159,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.5,0.00004
160,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
161,1,,,,,0.00022,0.00001,3.2,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
162,1,,,,,0.00022,0.00000,3.2,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
163,1,,,,,0.00022,0.00001,3.2,0.00004,1,,,,,0.00022,0.00000,3.5,0.00004
164,1,,,,,0.00022,0.00001,3.4,0.00004,1,,,,,0.00022,0.00000,3.5,0.00004
165,1,,,,,0.00022,0.00001,3.4,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
166,1,,,,,0.00022,0.00000,3.4,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
167,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00023,0.00001,3.6,0.00004
168,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
169,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.5,0.00004
170,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
171,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.5,0.00004
172,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00001,3.5,0.00004
173,1,,,,,0.00022,0.00000,3.4,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
174,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00001,3.7,0.00004
175,1,,,,,0.00022,0.00001,3.5,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
176,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
177,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
178,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
179,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
180,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
181,1,,,,,0.00022,0.00001,3.5,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
182,1,,,,,0.00022,0.00001,3.5,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
183,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
184,1,,,,,0.00022,0.00001,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00005
185,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00001,3.7,0.00004
186,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
187,1,,,,,0.00022,0.00000,3.4,0.00004,1,,,,,0.00022,0.00000,3.8,0.00004
188,1,,,,,0.00022,0.00001,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
189,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
190,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.8,0.00004
191,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
192,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
193,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00001,3.7,0.00004
194,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
195,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00001,3.6,0.00004
196,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
197,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
198,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
199,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
200,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
201,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
202,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.8,0.00004
203,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00001,3.7,0.00004
204,1,,,,,0.00022,0.00001,3.6,0.00004,1,,,,,0.00022,0.00000,3.6,0.00004
